时间_s,烘房温度_C,烘房水分浓度_kg_kg
146,29.4052,0.020733666666666668
147,29.4134,0.0207415
148,29.4216,0.020749333333333335
149,29.4298,0.020757166666666667
150,29.438000000000002,0.020765
151,29.4462,0.020772833333333334
152,29.4544,0.020780666666666666
153,29.462600000000002,0.0207885
154,29.4708,0.020796333333333333
155,29.479,0.02080416666666667
156,29.4872,0.020812
157,29.4954,0.020819833333333333
158,29.503600000000002,0.020827666666666668
159,29.5118,0.0208355
160,29.52,0.020843333333333335
161,29.528200000000002,0.020851166666666667
162,29.5364,0.020859000000000003
163,29.5446,0.020866833333333334
164,29.5528,0.020874666666666666
165,29.561,0.020882500000000002
166,29.569200000000002,0.020890333333333334
167,29.5774,0.02089816666666667
168,29.5856,0.020906
169,29.5938,0.020913833333333333
170,29.602,0.02092166666666667
171,29.610200000000003,0.0209295
172,29.6184,0.020937333333333336
173,29.6266,0.020945166666666667
174,29.634800000000002,0.020953
175,29.643,0.020960833333333335
176,29.6512,0.020968666666666667
177,29.6594,0.020976500000000002
178,29.6676,0.020984333333333334
179,29.675800000000002,0.02099216666666667
180,29.684,0.021
181,29.689883333333334,0.021008500000000003
182,29.695766666666668,0.021017
183,29.70165,0.021025500000000003
184,29.707533333333334,0.021034
185,29.713416666666667,0.021042500000000002
186,29.7193,0.021051
187,29.725183333333334,0.021059500000000002
188,29.731066666666667,0.021068
189,29.73695,0.0210765
190,29.742833333333333,0.021085
191,29.748716666666667,0.0210935
192,29.7546,0.021102000000000003
193,29.760483333333333,0.0211105
194,29.766366666666666,0.021119000000000002
195,29.77225,0.0211275
196,29.778133333333333,0.021136000000000002
197,29.784016666666666,0.0211445
198,29.7899,0.021153
199,29.795783333333333,0.0211615
200,29.801666666666666,0.02117
201,29.80755,0.021178500000000003
202,29.813433333333332,0.021187
203,29.819316666666666,0.021195500000000003
204,29.8252,0.021204
205,29.831083333333332,0.021212500000000002
206,29.836966666666665,0.021221
207,29.84285,0.021229500000000002
208,29.848733333333332,0.021238
209,29.854616666666665,0.0212465
210,29.860500000000002,0.021255000000000003
211,29.866383333333335,0.0212635
212,29.87226666666667,0.021272000000000003
213,29.87815,0.0212805
214,29.884033333333335,0.021289000000000002
215,29.889916666666668,0.0212975
216,29.8958,0.021306000000000002
217,29.901683333333335,0.0213145
218,29.907566666666668,0.021323
219,29.91345,0.0213315
220,29.919333333333334,0.02134
221,29.925216666666667,0.021348500000000003
222,29.9311,0.021357
223,29.936983333333334,0.021365500000000003
224,29.942866666666667,0.021374
225,29.94875,0.021382500000000002
226,29.954633333333334,0.021391
227,29.960516666666667,0.021399500000000002
228,29.9664,0.021408
229,29.972283333333333,0.0214165
230,29.978166666666667,0.021425
231,29.98405,0.0214335
232,29.989933333333333,0.021442000000000003
233,29.995816666666666,0.0214505
234,30.0017,0.021459000000000002
235,30.007583333333333,0.0214675
236,30.013466666666666,0.021476000000000002
237,30.01935,0.0214845
238,30.025233333333333,0.021493
239,30.031116666666666,0.0215015
240,30.037,0.02151
241,30.050283333333333,0.021516666666666667
242,30.063566666666667,0.021523333333333335
243,30.07685,0.02153
244,30.090133333333334,0.02153666666666667
245,30.103416666666664,0.021543333333333334
246,30.116699999999998,0.02155
247,30.129983333333332,0.02155666666666667
248,30.143266666666666,0.021563333333333334
249,30.15655,0.021570000000000002
250,30.169833333333333,0.021576666666666668
251,30.183116666666667,0.021583333333333333
252,30.1964,0.02159
253,30.20968333333333,0.021596666666666667
254,30.222966666666665,0.021603333333333335
255,30.23625,0.02161
256,30.249533333333332,0.021616666666666666
257,30.262816666666666,0.021623333333333335
258,30.2761,0.02163
259,30.289383333333333,0.02163666666666667
260,30.302666666666667,0.021643333333333334
261,30.31595,0.02165
262,30.32923333333333,0.021656666666666668
263,30.342516666666665,0.021663333333333333
264,30.3558,0.021670000000000002
265,30.369083333333332,0.021676666666666667
266,30.382366666666666,0.021683333333333332
267,30.39565,0.02169
268,30.408933333333334,0.021696666666666666
269,30.422216666666667,0.021703333333333335
270,30.435499999999998,0.02171
271,30.44878333333333,0.021716666666666665
272,30.462066666666665,0.021723333333333334
273,30.47535,0.02173
274,30.488633333333333,0.021736666666666668
275,30.501916666666666,0.021743333333333333
276,30.5152,0.02175
277,30.528483333333334,0.021756666666666667
278,30.541766666666668,0.021763333333333332
279,30.555049999999998,0.02177
280,30.56833333333333,0.021776666666666666
281,30.581616666666665,0.02178333333333333
282,30.5949,0.02179
283,30.608183333333333,0.021796666666666666
284,30.621466666666667,0.021803333333333334
285,30.63475,0.02181
286,30.648033333333334,0.021816666666666665
287,30.661316666666664,0.021823333333333333
288,30.674599999999998,0.02183
289,30.687883333333332,0.021836666666666667
290,30.701166666666666,0.021843333333333333
291,30.71445,0.021849999999999998
292,30.727733333333333,0.021856666666666667
293,30.741016666666667,0.021863333333333332
294,30.7543,0.02187
295,30.767583333333334,0.021876666666666666
296,30.780866666666665,0.02188333333333333
297,30.79415,0.02189
298,30.807433333333332,0.021896666666666665
299,30.820716666666666,0.021903333333333334
300,30.834,0.02191
301,30.84165,0.021917
302,30.8493,0.021924
303,30.85695,0.021931
304,30.8646,0.021938
305,30.87225,0.021945
306,30.8799,0.021952
307,30.88755,0.021959
308,30.8952,0.021966
309,30.90285,0.021973
310,30.9105,0.02198
311,30.91815,0.021987
312,30.9258,0.021994
313,30.93345,0.022001
314,30.9411,0.022008
315,30.94875,0.022015
316,30.9564,0.022022
317,30.96405,0.022029
318,30.9717,0.022036
319,30.97935,0.022043
320,30.987,0.02205
321,30.99465,0.022057
322,31.002299999999998,0.022064
323,31.00995,0.022071
324,31.017599999999998,0.022078
325,31.02525,0.022085
326,31.032899999999998,0.022092
327,31.04055,0.022099
328,31.048199999999998,0.022106
329,31.05585,0.022113
330,31.063499999999998,0.02212
331,31.07115,0.022126999999999997
332,31.0788,0.022133999999999997
333,31.08645,0.022140999999999997
334,31.0941,0.022147999999999998
335,31.10175,0.022154999999999998
336,31.1094,0.022161999999999998
337,31.11705,0.022168999999999998
338,31.1247,0.022175999999999998
339,31.13235,0.022182999999999998
340,31.14,0.022189999999999998
341,31.14765,0.022196999999999998
342,31.1553,0.022203999999999998
343,31.16295,0.022210999999999998
344,31.1706,0.022217999999999998
345,31.17825,0.022224999999999998
346,31.1859,0.022232
347,31.19355,0.022239
348,31.2012,0.022246
349,31.208849999999998,0.022253
350,31.2165,0.02226
351,31.224149999999998,0.022267
352,31.2318,0.022274
353,31.239449999999998,0.022281
354,31.2471,0.022288
355,31.254749999999998,0.022295
356,31.2624,0.022302
357,31.270049999999998,0.022309
358,31.2777,0.022316
359,31.285349999999998,0.022323
360,31.293,0.02233
361,31.301783333333333,0.0223375
362,31.310566666666666,0.022345
363,31.31935,0.0223525
364,31.328133333333334,0.022359999999999998
365,31.336916666666667,0.0223675
366,31.3457,0.022375
367,31.354483333333334,0.0223825
368,31.363266666666664,0.02239
369,31.372049999999998,0.0223975
370,31.38083333333333,0.022405
371,31.389616666666665,0.0224125
372,31.3984,0.02242
373,31.407183333333332,0.0224275
374,31.415966666666666,0.022435
375,31.42475,0.0224425
376,31.433533333333333,0.02245
377,31.442316666666667,0.0224575
378,31.4511,0.022465
379,31.459883333333334,0.0224725
380,31.468666666666667,0.02248
381,31.47745,0.0224875
382,31.486233333333335,0.022495
383,31.495016666666665,0.0225025
384,31.5038,0.02251
385,31.512583333333332,0.0225175
386,31.521366666666665,0.022525
387,31.53015,0.0225325
388,31.538933333333333,0.02254
389,31.547716666666666,0.0225475
390,31.5565,0.022555
391,31.565283333333333,0.0225625
392,31.574066666666667,0.02257
393,31.58285,0.0225775
394,31.591633333333334,0.022585
395,31.600416666666668,0.0225925
396,31.6092,0.022600000000000002
397,31.617983333333335,0.0226075
398,31.626766666666665,0.022615
399,31.63555,0.0226225
400,31.644333333333332,0.02263
401,31.653116666666666,0.0226375
402,31.6619,0.022645000000000002
403,31.670683333333333,0.022652500000000002
404,31.679466666666666,0.02266
405,31.68825,0.0226675
406,31.697033333333334,0.022675
407,31.705816666666667,0.0226825
408,31.7146,0.022690000000000002
409,31.723383333333334,0.022697500000000002
410,31.732166666666668,0.022705000000000003
411,31.74095,0.0227125
412,31.749733333333335,0.02272
413,31.758516666666665,0.0227275
414,31.7673,0.022735000000000002
415,31.776083333333332,0.022742500000000002
416,31.784866666666666,0.022750000000000003
417,31.79365,0.0227575
418,31.802433333333333,0.022765
419,31.811216666666667,0.0227725
420,31.82,0.02278
421,31.825016666666667,0.022787833333333334
422,31.830033333333333,0.02279566666666667
423,31.83505,0.0228035
424,31.84006666666667,0.022811333333333336
425,31.845083333333335,0.022819166666666668
426,31.8501,0.022827
427,31.855116666666667,0.022834833333333335
428,31.860133333333334,0.022842666666666667
429,31.86515,0.022850500000000003
430,31.870166666666666,0.022858333333333335
431,31.875183333333332,0.022866166666666667
432,31.880200000000002,0.022874000000000002
433,31.88521666666667,0.022881833333333334
434,31.890233333333335,0.02288966666666667
435,31.89525,0.0228975
436,31.900266666666667,0.022905333333333333
437,31.905283333333333,0.02291316666666667
438,31.9103,0.022921
439,31.91531666666667,0.022928833333333336
440,31.920333333333335,0.022936666666666668
441,31.92535,0.0229445
442,31.930366666666668,0.022952333333333335
443,31.935383333333334,0.022960166666666667
444,31.9404,0.022968000000000002
445,31.945416666666667,0.022975833333333334
446,31.950433333333333,0.022983666666666666
447,31.955450000000003,0.0229915
448,31.96046666666667,0.022999333333333333
449,31.965483333333335,0.02300716666666667
450,31.9705,0.023015
451,31.975516666666667,0.023022833333333333
452,31.980533333333334,0.023030666666666668
453,31.98555,0.0230385
454,31.99056666666667,0.023046333333333335
455,31.995583333333336,0.023054166666666667
456,32.0006,0.023062
457,32.00561666666667,0.023069833333333335
458,32.01063333333334,0.023077666666666666
459,32.01565,0.023085500000000002
460,32.02066666666667,0.023093333333333334
461,32.02568333333333,0.023101166666666666
462,32.0307,0.023109
463,32.035716666666666,0.023116833333333333
464,32.040733333333336,0.02312466666666667
465,32.04575,0.0231325
466,32.05076666666667,0.023140333333333332
467,32.05578333333334,0.023148166666666668
468,32.0608,0.023156
469,32.06581666666667,0.023163833333333335
470,32.07083333333333,0.023171666666666667
471,32.07585,0.0231795
472,32.080866666666665,0.023187333333333334
473,32.085883333333335,0.023195166666666666
474,32.090900000000005,0.023203
475,32.09591666666667,0.023210833333333333
476,32.10093333333334,0.023218666666666665
477,32.10595,0.0232265
478,32.11096666666667,0.023234333333333333
479,32.11598333333333,0.023242166666666668
480,32.121,0.02325
481,32.131150000000005,0.023258666666666667
482,32.1413,0.023267333333333334
483,32.151450000000004,0.023275999999999998
484,32.1616,0.023284666666666665
485,32.17175,0.023293333333333333
486,32.1819,0.023302
487,32.19205,0.023310666666666667
488,32.202200000000005,0.023319333333333334
489,32.21235,0.023328
490,32.222500000000004,0.023336666666666665
491,32.23265,0.023345333333333333
492,32.2428,0.023354
493,32.25295,0.023362666666666667
494,32.2631,0.023371333333333334
495,32.273250000000004,0.023379999999999998
496,32.2834,0.023388666666666665
497,32.29355,0.023397333333333332
498,32.3037,0.023406
499,32.31385,0.023414666666666667
500,32.324,0.023423333333333334
501,32.33415,0.023432
502,32.3443,0.023440666666666665
503,32.35445,0.023449333333333332
504,32.3646,0.023458
505,32.37475,0.023466666666666667
506,32.3849,0.023475333333333334
507,32.39505,0.023484
508,32.4052,0.023492666666666665
509,32.41535,0.023501333333333332
510,32.4255,0.02351
511,32.43565,0.023518666666666667
512,32.4458,0.023527333333333334
513,32.45595,0.023536
514,32.4661,0.023544666666666665
515,32.47625,0.023553333333333332
516,32.486399999999996,0.023562
517,32.49655,0.023570666666666667
518,32.5067,0.023579333333333334
519,32.51685,0.023587999999999998
520,32.527,0.023596666666666665
521,32.53715,0.023605333333333332
522,32.5473,0.023614
523,32.557449999999996,0.023622666666666667
524,32.5676,0.023631333333333334
525,32.577749999999995,0.02364
526,32.5879,0.023648666666666665
527,32.59805,0.023657333333333332
528,32.6082,0.023666
529,32.61835,0.023674666666666667
530,32.628499999999995,0.023683333333333334
531,32.63865,0.023692
532,32.648799999999994,0.023700666666666665
533,32.65895,0.023709333333333332
534,32.6691,0.023718
535,32.679249999999996,0.023726666666666667
536,32.6894,0.023735333333333334
537,32.699549999999995,0.023744
538,32.7097,0.023752666666666665
539,32.719849999999994,0.023761333333333332
540,32.73,0.02377
541,32.73786666666666,0.0237785
542,32.745733333333334,0.023787
543,32.7536,0.0237955
544,32.761466666666664,0.023804
545,32.76933333333333,0.0238125
546,32.77719999999999,0.023821
547,32.785066666666665,0.0238295
548,32.79293333333333,0.023837999999999998
549,32.800799999999995,0.0238465
550,32.80866666666667,0.023855
551,32.81653333333333,0.0238635
552,32.8244,0.023872
553,32.83226666666666,0.0238805
554,32.84013333333333,0.023889
555,32.848,0.0238975
556,32.855866666666664,0.023906
557,32.86373333333333,0.023914499999999998
558,32.8716,0.023923
559,32.879466666666666,0.023931499999999998
560,32.88733333333333,0.02394
561,32.895199999999996,0.0239485
562,32.90306666666666,0.023957
563,32.91093333333333,0.0239655
564,32.9188,0.023974
565,32.92666666666666,0.0239825
566,32.934533333333334,0.023991
567,32.9424,0.0239995
568,32.950266666666664,0.024007999999999998
569,32.95813333333333,0.0240165
570,32.965999999999994,0.024024999999999998
571,32.973866666666666,0.0240335
572,32.98173333333333,0.024042
573,32.989599999999996,0.0240505
574,32.99746666666667,0.024059
575,33.00533333333333,0.0240675
576,33.0132,0.024076
577,33.02106666666666,0.0240845
578,33.02893333333333,0.024093
579,33.0368,0.024101499999999998
580,33.044666666666664,0.02411
581,33.05253333333333,0.0241185
582,33.0604,0.024127
583,33.068266666666666,0.0241355
584,33.07613333333333,0.024144
585,33.083999999999996,0.0241525
586,33.09186666666666,0.024161
587,33.09973333333333,0.0241695
588,33.1076,0.024177999999999998
589,33.11546666666666,0.0241865
590,33.123333333333335,0.024194999999999998
591,33.1312,0.0242035
592,33.139066666666665,0.024212
593,33.14693333333333,0.0242205
594,33.154799999999994,0.024229
595,33.16266666666667,0.0242375
596,33.17053333333333,0.024246
597,33.178399999999996,0.0242545
598,33.18626666666667,0.024263
599,33.19413333333333,0.024271499999999998
600,33.202,0.02428
601,33.21328333333333,0.024286166666666668
602,33.22456666666667,0.024292333333333332
603,33.23585,0.0242985
604,33.24713333333333,0.024304666666666665
605,33.25841666666666,0.024310833333333334
606,33.2697,0.024317
607,33.28098333333333,0.024323166666666667
608,33.29226666666666,0.02432933333333333
609,33.30355,0.0243355
610,33.31483333333333,0.024341666666666664
611,33.326116666666664,0.024347833333333332
612,33.337399999999995,0.024354
613,33.348683333333334,0.024360166666666665
614,33.359966666666665,0.024366333333333334
615,33.371249999999996,0.0243725
616,33.382533333333335,0.024378666666666667
617,33.393816666666666,0.02438483333333333
618,33.4051,0.024391
619,33.41638333333333,0.024397166666666664
620,33.42766666666667,0.024403333333333332
621,33.43895,0.0244095
622,33.45023333333333,0.024415666666666665
623,33.46151666666667,0.024421833333333334
624,33.4728,0.024428
625,33.48408333333333,0.024434166666666667
626,33.49536666666666,0.02444033333333333
627,33.50665,0.0244465
628,33.51793333333333,0.024452666666666664
629,33.52921666666666,0.024458833333333332
630,33.540499999999994,0.024465
631,33.55178333333333,0.024471166666666665
632,33.563066666666664,0.024477333333333334
633,33.574349999999995,0.0244835
634,33.585633333333334,0.024489666666666667
635,33.596916666666665,0.02449583333333333
636,33.6082,0.024502
637,33.61948333333333,0.024508166666666664
638,33.630766666666666,0.024514333333333332
639,33.64205,0.024520499999999997
640,33.65333333333333,0.024526666666666665
641,33.66461666666667,0.024532833333333334
642,33.6759,0.024539
643,33.68718333333333,0.024545166666666667
644,33.69846666666666,0.02455133333333333
645,33.70975,0.0245575
646,33.72103333333333,0.024563666666666664
647,33.73231666666666,0.024569833333333332
648,33.7436,0.024575999999999997
649,33.75488333333333,0.024582166666666665
650,33.76616666666666,0.02458833333333333
651,33.777449999999995,0.0245945
652,33.78873333333333,0.024600666666666667
653,33.800016666666664,0.02460683333333333
654,33.811299999999996,0.024613
655,33.822583333333334,0.024619166666666664
656,33.833866666666665,0.024625333333333332
657,33.84515,0.024631499999999997
658,33.85643333333333,0.024637666666666665
659,33.86771666666667,0.02464383333333333
660,33.879,0.02465
661,33.88548333333333,0.024656833333333333
662,33.89196666666666,0.024663666666666664
663,33.89845,0.024670499999999998
664,33.90493333333333,0.024677333333333332
665,33.91141666666667,0.024684166666666667
666,33.917899999999996,0.024690999999999998
667,33.92438333333333,0.024697833333333332
668,33.93086666666667,0.024704666666666666
669,33.937349999999995,0.024711499999999997
670,33.94383333333333,0.024718333333333332
671,33.950316666666666,0.024725166666666666
672,33.9568,0.024731999999999997
673,33.96328333333333,0.02473883333333333
674,33.969766666666665,0.024745666666666666
675,33.97625,0.024752499999999997
676,33.98273333333333,0.02475933333333333
677,33.989216666666664,0.024766166666666665
678,33.9957,0.024773
679,34.002183333333335,0.02477983333333333
680,34.00866666666666,0.024786666666666665
681,34.01515,0.0247935
682,34.021633333333334,0.02480033333333333
683,34.02811666666666,0.024807166666666665
684,34.0346,0.024814
685,34.04108333333333,0.024820833333333334
686,34.04756666666667,0.024827666666666665
687,34.05405,0.0248345
688,34.06053333333333,0.024841333333333333
689,34.06701666666667,0.024848166666666664
690,34.073499999999996,0.024855
691,34.07998333333333,0.024861833333333333
692,34.08646666666667,0.024868666666666664
693,34.09295,0.0248755
694,34.09943333333333,0.024882333333333333
695,34.105916666666666,0.024889166666666664
696,34.1124,0.024895999999999998
697,34.118883333333336,0.024902833333333332
698,34.125366666666665,0.024909666666666667
699,34.13185,0.024916499999999998
700,34.138333333333335,0.024923333333333332
701,34.144816666666664,0.024930166666666666
702,34.1513,0.024936999999999997
703,34.157783333333334,0.024943833333333332
704,34.16426666666667,0.024950666666666666
705,34.17075,0.0249575
706,34.177233333333334,0.02496433333333333
707,34.18371666666667,0.024971166666666666
708,34.1902,0.024978
709,34.19668333333333,0.02498483333333333
710,34.20316666666667,0.024991666666666666
711,34.20965,0.0249985
712,34.21613333333333,0.02500533333333333
713,34.22261666666667,0.025012166666666665
714,34.2291,0.025019
715,34.23558333333333,0.02502583333333333
716,34.242066666666666,0.025032666666666665
717,34.24855,0.0250395
718,34.25503333333334,0.025046333333333334
719,34.261516666666665,0.025053166666666665
720,34.268,0.02506
721,34.27696666666667,0.025067666666666665
722,34.28593333333333,0.02507533333333333
723,34.2949,0.025082999999999998
724,34.303866666666664,0.025090666666666667
725,34.31283333333333,0.025098333333333334
726,34.3218,0.025106
727,34.33076666666667,0.025113666666666666
728,34.339733333333335,0.025121333333333332
729,34.3487,0.025129
730,34.35766666666667,0.025136666666666665
731,34.36663333333333,0.02514433333333333
732,34.3756,0.025152
733,34.384566666666665,0.025159666666666667
734,34.39353333333333,0.025167333333333333
735,34.4025,0.025175
736,34.41146666666667,0.025182666666666666
737,34.420433333333335,0.025190333333333332
738,34.4294,0.025197999999999998
739,34.43836666666667,0.025205666666666668
740,34.44733333333333,0.025213333333333334
741,34.4563,0.025221
742,34.465266666666665,0.025228666666666667
743,34.47423333333333,0.025236333333333333
744,34.4832,0.025244
745,34.49216666666667,0.025251666666666665
746,34.501133333333335,0.02525933333333333
747,34.5101,0.025267
748,34.51906666666667,0.025274666666666668
749,34.52803333333333,0.025282333333333334
750,34.537,0.02529
751,34.545966666666665,0.025297666666666666
752,34.55493333333333,0.025305333333333332
753,34.5639,0.025313
754,34.57286666666666,0.02532066666666667
755,34.581833333333336,0.025328333333333335
756,34.5908,0.025336
757,34.59976666666667,0.025343666666666667
758,34.60873333333333,0.025351333333333333
759,34.6177,0.025359
760,34.626666666666665,0.025366666666666666
761,34.63563333333333,0.025374333333333332
762,34.6446,0.025382000000000002
763,34.65356666666666,0.025389666666666668
764,34.66253333333333,0.025397333333333334
765,34.6715,0.025405
766,34.68046666666667,0.025412666666666667
767,34.689433333333334,0.025420333333333333
768,34.6984,0.025428
769,34.707366666666665,0.02543566666666667
770,34.71633333333333,0.025443333333333335
771,34.7253,0.025451
772,34.73426666666666,0.025458666666666668
773,34.74323333333333,0.025466333333333334
774,34.752199999999995,0.025474
775,34.76116666666667,0.025481666666666666
776,34.770133333333334,0.025489333333333333
777,34.7791,0.025497000000000002
778,34.788066666666666,0.02550466666666667
779,34.79703333333333,0.025512333333333335
780,34.806,0.02552
781,34.8116,0.02553
782,34.8172,0.02554
783,34.8228,0.02555
784,34.828399999999995,0.02556
785,34.833999999999996,0.025570000000000002
786,34.8396,0.025580000000000002
787,34.8452,0.02559
788,34.8508,0.0256
789,34.8564,0.02561
790,34.861999999999995,0.02562
791,34.867599999999996,0.02563
792,34.8732,0.02564
793,34.8788,0.025650000000000003
794,34.8844,0.025660000000000002
795,34.89,0.025670000000000002
796,34.8956,0.02568
797,34.901199999999996,0.02569
798,34.9068,0.0257
799,34.9124,0.02571
800,34.918,0.02572
801,34.9236,0.02573
802,34.9292,0.025740000000000002
803,34.9348,0.025750000000000002
804,34.9404,0.02576
805,34.946,0.02577
806,34.9516,0.02578
807,34.9572,0.02579
808,34.9628,0.0258
809,34.9684,0.02581
810,34.974000000000004,0.025820000000000003
811,34.9796,0.025830000000000002
812,34.9852,0.025840000000000002
813,34.9908,0.02585
814,34.9964,0.02586
815,35.002,0.02587
816,35.007600000000004,0.02588
817,35.0132,0.02589
818,35.0188,0.0259
819,35.0244,0.025910000000000002
820,35.03,0.025920000000000002
821,35.0356,0.02593
822,35.0412,0.02594
823,35.046800000000005,0.02595
824,35.0524,0.02596
825,35.058,0.02597
826,35.0636,0.02598
827,35.0692,0.02599
828,35.0748,0.026000000000000002
829,35.080400000000004,0.026010000000000002
830,35.086,0.02602
831,35.0916,0.02603
832,35.0972,0.02604
833,35.1028,0.02605
834,35.1084,0.02606
835,35.114000000000004,0.02607
836,35.119600000000005,0.026080000000000002
837,35.1252,0.026090000000000002
838,35.1308,0.0261
839,35.1364,0.02611
840,35.142,0.02612
841,35.14836666666667,0.026128000000000002
842,35.15473333333334,0.026136
843,35.161100000000005,0.026144
844,35.16746666666667,0.026152
845,35.173833333333334,0.02616
846,35.1802,0.026168
847,35.18656666666667,0.026176
848,35.192933333333336,0.026184
849,35.1993,0.026192
850,35.20566666666667,0.0262
851,35.21203333333334,0.026208000000000002
852,35.2184,0.026216
853,35.22476666666667,0.026224
854,35.23113333333333,0.026232000000000002
855,35.237500000000004,0.02624
856,35.24386666666667,0.026248
857,35.250233333333334,0.026256
858,35.256600000000006,0.026264
859,35.26296666666667,0.026272
860,35.269333333333336,0.02628
861,35.2757,0.026288
862,35.282066666666665,0.026296
863,35.28843333333334,0.026304
864,35.2948,0.026312
865,35.30116666666667,0.02632
866,35.30753333333334,0.026328
867,35.313900000000004,0.026336
868,35.32026666666667,0.026344
869,35.326633333333334,0.026352
870,35.333,0.026359999999999998
871,35.33936666666667,0.026368
872,35.345733333333335,0.026376
873,35.3521,0.026384
874,35.35846666666667,0.026392
875,35.36483333333334,0.0264
876,35.3712,0.026408
877,35.37756666666667,0.026416
878,35.38393333333333,0.026424
879,35.3903,0.026432
880,35.39666666666667,0.026439999999999998
881,35.40303333333333,0.026448
882,35.409400000000005,0.026456
883,35.41576666666667,0.026463999999999998
884,35.422133333333335,0.026472
885,35.4285,0.02648
886,35.434866666666665,0.026487999999999998
887,35.44123333333334,0.026496
888,35.4476,0.026504
889,35.453966666666666,0.026511999999999997
890,35.46033333333334,0.02652
891,35.4667,0.026528
892,35.47306666666667,0.026536
893,35.47943333333333,0.026543999999999998
